0 <= x < 30; y0 = 61.0000 + 0.6333x; linear_interpolation
1290 <= x < 1320; y43 = -128.0000 + -0.1667x; linear_interpolation
1320 <= x < 1350; y44 = -842.0000 + -0.7000x; linear_interpolation
1350 <= x < 1380; y45 = 151.0000 + 0.0667x; linear_interpolation
1380 <= x < 1410; y46 = 247.0000 + 0.1333x; linear_interpolation
1410 <= x < 1440; y47 = 819.0000 + 0.5333x; linear_interpolation
1440 <= x < 1470; y48 = 179.0000 + 0.0667x; linear_interpolation
1470 <= x < 1500; y49 = 183.0000 + 0.0667x; linear_interpolation
1500 <= x < 1530; y50 = -263.0000 + -0.2333x; linear_interpolation
1530 <= x < 1560; y51 = -685.0000 + -0.5000x; linear_interpolation
1560 <= x < 1590; y52 = 1001.0000 + 0.6000x; linear_interpolation
1590 <= x < 1620; y53 = 189.0000 + 0.0667x; linear_interpolation
1620 <= x < 1650; y54 = 85.0000 + 0.0000x; linear_interpolation
1650 <= x < 1680; y55 = -1015.0000 + -0.6667x; linear_interpolation
1680 <= x < 1710; y56 = 1129.0000 + 0.6333x; linear_interpolation
1710 <= x < 1740; y57 = -999.0000 + -0.6333x; linear_interpolation
1740 <= x < 1770; y58 = 239.0000 + 0.1000x; linear_interpolation
1770 <= x < 1800; y59 = -109.0000 + -0.1000x; linear_interpolation
1800 <= x < 1830; y60 = 1145.0000 + 0.6000x; linear_interpolation
1830 <= x < 1860; y61 = -1015.0000 + -0.6000x; linear_interpolation
1860 <= x < 1890; y62 = 127.0000 + 0.0333x; linear_interpolation
1890 <= x < 1920; y63 = 1326.0000 + 0.6667x; linear_interpolation
1920 <= x < 1950; y64 = -1066.0000 + -0.6000x; linear_interpolation
1950 <= x < 1980; y65 = -192.0000 + -0.1333x; linear_interpolation
1980 <= x < 2010; y66 = 262.0000 + 0.1000x; linear_interpolation
2010 <= x < 2040; y67 = 0.0000 + -0.0333x; linear_interpolation
2040 <= x < 2070; y68 = 66.0000 + 0.0000x; linear_interpolation
2070 <= x < 2100; y69 = 1446.0000 + 0.6667x; linear_interpolation
2100 <= x < 2130; y70 = -474.0000 + -0.2667x; linear_interpolation
2130 <= x < 2160; y71 = -3472.0000 + -1.6667x; linear_interpolation
2160 <= x < 2190; y72 = -116.0000 + -0.0667x; linear_interpolation
2190 <= x < 2220; y73 = 4114.0000 + 1.8667x; linear_interpolation
2220 <= x < 2250; y74 = -1028.0000 + -0.5000x; linear_interpolation
2250 <= x < 2280; y75 = 1342.0000 + 0.5667x; linear_interpolation
2280 <= x < 2310; y76 = -1284.0000 + -0.6000x; linear_interpolation
2310 <= x < 2340; y77 = 1529.0000 + 0.6333x; linear_interpolation
2340 <= x < 2370; y78 = 241.0000 + 0.0667x; linear_interpolation
2370 <= x < 2400; y79 = -1651.0000 + -0.7333x; linear_interpolation
2400 <= x < 2430; y80 = 1665.0000 + 0.6667x; linear_interpolation
2430 <= x < 2460; y81 = -77.0000 + -0.0667x; linear_interpolation
2460 <= x < 2490; y82 = -1229.0000 + -0.5333x; linear_interpolation
2490 <= x < 2520; y83 = -16.0000 + -0.0333x; linear_interpolation
2520 <= x < 2550; y84 = 150.0000 + 0.0333x; linear_interpolation
2550 <= x < 2580; y85 = 1597.0000 + 0.6000x; linear_interpolation
2580 <= x < 2610; y86 = 257.0000 + 0.0667x; linear_interpolation
2610 <= x < 2640; y87 = -1914.0000 + -0.7667x; linear_interpolation
2640 <= x < 2670; y88 = 416.0000 + 0.1333x; linear_interpolation
2670 <= x < 2700; y89 = 1670.0000 + 0.6000x; linear_interpolation
2700 <= x < 2730; y90 = -94.0000 + -0.0667x; linear_interpolation
2730 <= x < 2760; y91 = 175.0000 + 0.0333x; linear_interpolation
2760 <= x < 2790; y92 = -99.0000 + -0.0667x; linear_interpolation
2790 <= x < 2820; y93 = -1498.0000 + -0.5667x; linear_interpolation
2820 <= x < 2850; y94 = 254.0000 + 0.0667x; linear_interpolation
2850 <= x < 2880; y95 = 638.0000 + 0.2000x; linear_interpolation
2880 <= x < 2910; y96 = -406.0000 + -0.1667x; linear_interpolation
2910 <= x < 2940; y97 = 1718.0000 + 0.5667x; linear_interpolation
2940 <= x < 2970; y98 = -404.0000 + -0.1667x; linear_interpolation
2970 <= x < 3000; y99 = 477.0000 + 0.1333x; linear_interpolation
3000 <= x < 3030; y100 = -115.0000 + -0.0667x; linear_interpolation
3030 <= x < 3060; y101 = 184.0000 + 0.0333x; linear_interpolation
3060 <= x < 3090; y102 = -18.0000 + -0.0333x; linear_interpolation
3090 <= x < 3120; y103 = 598.0000 + 0.1667x; linear_interpolation
3120 <= x < 3150; y104 = -120.0000 + -0.0667x; linear_interpolation
3150 <= x < 3180; y105 = -2014.0000 + -0.6667x; linear_interpolation
3180 <= x < 3210; y106 = 1868.0000 + 0.5667x; linear_interpolation
3210 <= x < 3240; y107 = -1736.0000 + -0.5667x; linear_interpolation
3240 <= x < 3270; y108 = 390.0000 + 0.1000x; linear_interpolation
3270 <= x < 3300; y109 = 1922.0000 + 0.5667x; linear_interpolation
3300 <= x < 3330; y110 = -244.0000 + -0.1000x; linear_interpolation
3330 <= x < 3360; y111 = 416.0000 + 0.1000x; linear_interpolation
3360 <= x < 3390; y112 = 198.0000 + 0.0333x; linear_interpolation
3390 <= x < 3420; y113 = 87.0000 + 0.0000x; linear_interpolation
3420 <= x < 3450; y114 = -141.0000 + -0.0667x; linear_interpolation
3450 <= x < 3480; y115 = 85.0000 + 0.0000x; linear_interpolation
3480 <= x < 3510; y116 = -1771.0000 + -0.5333x; linear_interpolation
3510 <= x < 3540; y117 = 1941.0000 + 0.5333x; linear_interpolation
3540 <= x < 3570; y118 = -151.0000 + -0.0667x; linear_interpolation
3570 <= x < 3600; y119 = 440.0000 + 0.1000x; linear_interpolation
3600 <= x < 3630; y120 = -274.0000 + -0.1000x; linear_interpolation
3630 <= x < 3660; y121 = 688.0000 + 0.1667x; linear_interpolation
3660 <= x < 3690; y122 = -400.0000 + -0.1333x; linear_interpolation
3690 <= x < 3720; y123 = 207.0000 + 0.0333x; linear_interpolation
3720 <= x < 3750; y124 = -39.0000 + -0.0333x; linear_interpolation
3750 <= x < 3780; y125 = -2166.0000 + -0.6000x; linear_interpolation
3780 <= x < 3810; y126 = 2586.0000 + 0.6667x; linear_interpolation
3810 <= x < 3840; y127 = 213.0000 + 0.0333x; linear_interpolation
3840 <= x < 3870; y128 = -425.0000 + -0.1333x; linear_interpolation
3870 <= x < 3900; y129 = -2110.0000 + -0.5667x; linear_interpolation
3900 <= x < 3930; y130 = 66.0000 + 0.0000x; linear_interpolation
3930 <= x < 3960; y131 = 2686.0000 + 0.6667x; linear_interpolation
3960 <= x < 3990; y132 = -838.0000 + -0.2333x; linear_interpolation
3990 <= x < 4020; y133 = -1650.0000 + -0.4333x; linear_interpolation
4020 <= x < 4050; y134 = 334.0000 + 0.0667x; linear_interpolation
4050 <= x < 4080; y135 = 2093.0000 + 0.5000x; linear_interpolation
4080 <= x < 4110; y136 = 83.0000 + 0.0000x; linear_interpolation
4110 <= x < 4140; y137 = -2383.0000 + -0.6000x; linear_interpolation
4140 <= x < 4170; y138 = 2963.0000 + 0.7000x; linear_interpolation
4170 <= x < 4200; y139 = -609.0000 + -0.1667x; linear_interpolation
4200 <= x < 4230; y140 = -2159.0000 + -0.5333x; linear_interpolation
4230 <= x < 4260; y141 = 3167.0000 + 0.7333x; linear_interpolation
4260 <= x < 4290; y142 = -197.0000 + -0.0667x; linear_interpolation
4290 <= x < 4320; y143 = -2775.0000 + -0.6667x; linear_interpolation
4320 <= x < 4350; y144 = 641.0000 + 0.1333x; linear_interpolation
4350 <= x < 4380; y145 = 2389.0000 + 0.5333x; linear_interpolation
4380 <= x < 4410; y146 = -2689.0000 + -0.6333x; linear_interpolation
4410 <= x < 4440; y147 = -5667.0000 + -1.3000x; linear_interpolation
4440 <= x < 4470; y148 = 5947.0000 + 1.3333x; linear_interpolation
4470 <= x < 4500; y149 = -231.0000 + -0.0667x; linear_interpolation
4500 <= x < 4530; y150 = 2315.0000 + 0.5000x; linear_interpolation
4530 <= x < 4560; y151 = 1137.0000 + 0.2333x; linear_interpolation
4560 <= x < 4590; y152 = -1129.0000 + -0.2667x; linear_interpolation
4590 <= x < 4620; y153 = 1303.0000 + 0.2667x; linear_interpolation
4620 <= x < 4650; y154 = -1145.0000 + -0.2667x; linear_interpolation
4650 <= x < 4680; y155 = 1319.0000 + 0.2667x; linear_interpolation
4680 <= x < 4710; y156 = -1005.0000 + -0.2333x; linear_interpolation
4710 <= x < 4740; y157 = 1179.0000 + 0.2333x; linear_interpolation
4740 <= x < 4770; y158 = -229.0000 + -0.0667x; linear_interpolation
4770 <= x < 4800; y159 = -3254.0000 + -0.7000x; linear_interpolation
4800 <= x < 4830; y160 = 3744.0000 + 0.7667x; linear_interpolation
4830 <= x < 4860; y161 = -3455.0000 + -0.7333x; linear_interpolation
4860 <= x < 4890; y162 = 3305.0000 + 0.6667x; linear_interpolation
4890 <= x < 4920; y163 = -3175.0000 + -0.6667x; linear_interpolation
4920 <= x < 4950; y164 = 3509.0000 + 0.7000x; linear_interpolation
4950 <= x < 4980; y165 = -3214.0000 + -0.6667x; linear_interpolation
4980 <= x < 5010; y166 = 896.0000 + 0.1667x; linear_interpolation
5010 <= x < 5040; y167 = 2242.0000 + 0.4333x; linear_interpolation
5040 <= x < 5070; y168 = -2268.0000 + -0.4667x; linear_interpolation
5070 <= x < 5100; y169 = 1760.0000 + 0.3333x; linear_interpolation
5100 <= x < 5130; y170 = 80.0000 + 0.0000x; linear_interpolation
5130 <= x < 5160; y171 = -2314.0000 + -0.4667x; linear_interpolation
5160 <= x < 5190; y172 = 3334.0000 + 0.6333x; linear_interpolation
5190 <= x < 5220; y173 = -3029.0000 + -0.6000x; linear_interpolation
5220 <= x < 5250; y174 = -977.0000 + -0.2000x; linear_interpolation
5250 <= x < 5280; y175 = 1111.0000 + 0.2000x; linear_interpolation
5280 <= x < 5310; y176 = 947.0000 + 0.1667x; linear_interpolation
5310 <= x < 5340; y177 = 2550.0000 + 0.4667x; linear_interpolation
5340 <= x < 5370; y178 = -2228.0000 + -0.4333x; linear_interpolation
5370 <= x < 5400; y179 = 2042.0000 + 0.3667x; linear_interpolation
5400 <= x < 5430; y180 = -1896.0000 + -0.3667x; linear_interpolation
5430 <= x < 5460; y181 = 1883.0000 + 0.3333x; linear_interpolation
5460 <= x < 5490; y182 = -1009.0000 + -0.2000x; linear_interpolation
5490 <= x < 5520; y183 = -1936.0000 + -0.3667x; linear_interpolation
5520 <= x < 5550; y184 = 3378.0000 + 0.6000x; linear_interpolation
5550 <= x < 5580; y185 = -2876.0000 + -0.5333x; linear_interpolation
5580 <= x < 5610; y186 = 2858.0000 + 0.5000x; linear_interpolation
5610 <= x < 5640; y187 = -2909.0000 + -0.5333x; linear_interpolation
5640 <= x < 5670; y188 = 3639.0000 + 0.6333x; linear_interpolation
5670 <= x < 5700; y189 = -1426.0000 + -0.2667x; linear_interpolation
5700 <= x < 5730; y190 = -2582.0000 + -0.4667x; linear_interpolation
5730 <= x < 5760; y191 = 4075.0000 + 0.7000x; linear_interpolation
5760 <= x < 5790; y192 = -3563.0000 + -0.6333x; linear_interpolation
5790 <= x < 5820; y193 = 4119.0000 + 0.7000x; linear_interpolation
5820 <= x < 5850; y194 = -4181.0000 + -0.7333x; linear_interpolation
5850 <= x < 5880; y195 = 4355.0000 + 0.7333x; linear_interpolation
5880 <= x < 5910; y196 = -4029.0000 + -0.7000x; linear_interpolation
5910 <= x < 5940; y197 = 3612.0000 + 0.6000x; linear_interpolation
5940 <= x < 5970; y198 = 480.0000 + 0.0667x; linear_interpolation
5970 <= x < 6000; y199 = -511.0000 + -0.1000x; linear_interpolation
6000 <= x < 6030; y200 = -3517.0000 + -0.6000x; linear_interpolation
6030 <= x < 6060; y201 = 4085.0000 + 0.6667x; linear_interpolation
6060 <= x < 6090; y202 = -3753.0000 + -0.6333x; linear_interpolation
6090 <= x < 6120; y203 = 4329.0000 + 0.7000x; linear_interpolation
6120 <= x < 6150; y204 = -729.0000 + -0.1333x; linear_interpolation
6150 <= x < 6180; y205 = 83.0000 + 0.0000x; linear_interpolation
6180 <= x < 6210; y206 = 1113.0000 + 0.1667x; linear_interpolation
6210 <= x < 6240; y207 = -4466.0000 + -0.7333x; linear_interpolation
6240 <= x < 6270; y208 = 4018.0000 + 0.6333x; linear_interpolation
6270 <= x < 6300; y209 = -3677.0000 + -0.6000x; linear_interpolation
6300 <= x < 6330; y210 = 4267.0000 + 0.6667x; linear_interpolation
6330 <= x < 6360; y211 = -3922.0000 + -0.6333x; linear_interpolation
6360 <= x < 6390; y212 = 3884.0000 + 0.6000x; linear_interpolation
6390 <= x < 6420; y213 = 299.0000 + 0.0333x; linear_interpolation
6420 <= x < 6450; y214 = -341.0000 + -0.0667x; linear_interpolation
6450 <= x < 6480; y215 = -345.0000 + -0.0667x; linear_interpolation
6480 <= x < 6510; y216 = -3805.0000 + -0.6000x; linear_interpolation
6510 <= x < 6540; y217 = 4839.0000 + 0.7333x; linear_interpolation
6540 <= x < 6570; y218 = -4491.0000 + -0.7000x; linear_interpolation
6570 <= x < 6600; y219 = 4227.0000 + 0.6333x; linear_interpolation
6600 <= x < 6630; y220 = -4095.0000 + -0.6333x; linear_interpolation
6630 <= x < 6660; y221 = 508.0000 + 0.0667x; linear_interpolation
6660 <= x < 6690; y222 = 3842.0000 + 0.5667x; linear_interpolation
6690 <= x < 6720; y223 = -361.0000 + -0.0667x; linear_interpolation
6720 <= x < 6750; y224 = -3725.0000 + -0.5667x; linear_interpolation
6750 <= x < 6780; y225 = -384.0000 + -0.0667x; linear_interpolation
6780 <= x < 6810; y226 = -6942.0000 + -1.0333x; linear_interpolation
6810 <= x < 6840; y227 = -648.0000 + -0.1000x; linear_interpolation
6840 <= x < 6870; y228 = 11430.0000 + 1.6667x; linear_interpolation
6870 <= x < 6900; y229 = 767.0000 + 0.1000x; linear_interpolation
6900 <= x < 6930; y230 = 543.0000 + 0.0667x; linear_interpolation
6930 <= x < 6960; y231 = -146.0000 + -0.0333x; linear_interpolation
6960 <= x < 6990; y232 = -844.0000 + -0.1333x; linear_interpolation
6990 <= x < 7020; y233 = 80.0000 + 0.0000x; linear_interpolation
7020 <= x < 7050; y234 = -1324.0000 + -0.2000x; linear_interpolation
7050 <= x < 7080; y235 = 1484.0000 + 0.2000x; linear_interpolation
7080 <= x < 7110; y236 = 1732.0000 + 0.2333x; linear_interpolation
7110 <= x < 7140; y237 = -5601.0000 + -0.8000x; linear_interpolation
7140 <= x < 7170; y238 = 4823.0000 + 0.6667x; linear_interpolation
7170 <= x < 7200; y239 = 83.0000 + 0.0000x; linear_interpolation
7200 <= x < 7230; y240 = 563.0000 + 0.0667x; linear_interpolation
7230 <= x < 7260; y241 = -156.0000 + -0.0333x; linear_interpolation
7260 <= x < 7290; y242 = -4514.0000 + -0.6333x; linear_interpolation
7290 <= x < 7320; y243 = 5411.0000 + 0.7333x; linear_interpolation
7320 <= x < 7350; y244 = -5037.0000 + -0.7000x; linear_interpolation
7350 <= x < 7380; y245 = 311.0000 + 0.0333x; linear_interpolation
7380 <= x < 7410; y246 = 4987.0000 + 0.6667x; linear_interpolation
7410 <= x < 7440; y247 = -4853.0000 + -0.6667x; linear_interpolation
7440 <= x < 7470; y248 = 5275.0000 + 0.7000x; linear_interpolation
7470 <= x < 7500; y249 = -908.0000 + -0.1333x; linear_interpolation
7500 <= x < 7530; y250 = 84.0000 + 0.0000x; linear_interpolation
7530 <= x < 7560; y251 = -1924.0000 + -0.2667x; linear_interpolation
7560 <= x < 7590; y252 = -2948.0000 + -0.4000x; linear_interpolation
7590 <= x < 7620; y253 = 823.0000 + 0.1000x; linear_interpolation
7620 <= x < 7650; y254 = 4131.0000 + 0.5333x; linear_interpolation
7650 <= x < 7680; y255 = 83.0000 + 0.0000x; linear_interpolation
7680 <= x < 7710; y256 = 851.0000 + 0.1000x; linear_interpolation
7710 <= x < 7740; y257 = -171.0000 + -0.0333x; linear_interpolation
7740 <= x < 7770; y258 = -5075.0000 + -0.6667x; linear_interpolation
7770 <= x < 7800; y259 = 583.0000 + 0.0667x; linear_interpolation
7800 <= x < 7830; y260 = 4227.0000 + 0.5333x; linear_interpolation
7830 <= x < 7860; y261 = -3832.0000 + -0.5000x; linear_interpolation
7860 <= x < 7890; y262 = 5046.0000 + 0.6333x; linear_interpolation
7890 <= x < 7920; y263 = 87.0000 + 0.0000x; linear_interpolation
7920 <= x < 7950; y264 = -177.0000 + -0.0333x; linear_interpolation
7950 <= x < 7980; y265 = -179.0000 + -0.0333x; linear_interpolation
7980 <= x < 8010; y266 = -5235.0000 + -0.6667x; linear_interpolation
8010 <= x < 8040; y267 = 4604.0000 + 0.5667x; linear_interpolation
8040 <= x < 8070; y268 = -4206.0000 + -0.5333x; linear_interpolation
8070 <= x < 8100; y269 = 5177.0000 + 0.6333x; linear_interpolation
8100 <= x < 8130; y270 = -4775.0000 + -0.6000x; linear_interpolation
8130 <= x < 8160; y271 = 609.0000 + 0.0667x; linear_interpolation
8160 <= x < 8190; y272 = -747.0000 + -0.1000x; linear_interpolation
8190 <= x < 8220; y273 = 6072.0000 + 0.7333x; linear_interpolation
8220 <= x < 8250; y274 = -460.0000 + -0.0667x; linear_interpolation
8250 <= x < 8280; y275 = -4864.0000 + -0.6000x; linear_interpolation
8280 <= x < 8310; y276 = 5036.0000 + 0.6000x; linear_interpolation
8310 <= x < 8340; y277 = -4900.0000 + -0.6000x; linear_interpolation
8340 <= x < 8370; y278 = 4516.0000 + 0.5333x; linear_interpolation
8370 <= x < 8400; y279 = -474.0000 + -0.0667x; linear_interpolation
8400 <= x < 8430; y280 = -4678.0000 + -0.5667x; linear_interpolation
8430 <= x < 8460; y281 = 5966.0000 + 0.7000x; linear_interpolation
8460 <= x < 8490; y282 = -1324.0000 + -0.1667x; linear_interpolation
8490 <= x < 8520; y283 = -6994.0000 + -0.8333x; linear_interpolation
8520 <= x < 8550; y284 = 3180.0000 + 0.3667x; linear_interpolation
8550 <= x < 8580; y285 = 4912.0000 + 0.5667x; linear_interpolation
8580 <= x < 8610; y286 = -5064.0000 + -0.6000x; linear_interpolation
8610 <= x < 8640; y287 = 6093.0000 + 0.7000x; linear_interpolation
8640 <= x < 8670; y288 = -4809.0000 + -0.5667x; linear_interpolation
8670 <= x < 8700; y289 = 5272.0000 + 0.6000x; linear_interpolation
8700 <= x < 8730; y290 = -7162.0000 + -0.8333x; linear_interpolation
8730 <= x < 8760; y291 = 5883.0000 + 0.6667x; linear_interpolation
8760 <= x < 8790; y292 = -4881.0000 + -0.5667x; linear_interpolation
8790 <= x < 8820; y293 = 66.0000 + 0.0000x; linear_interpolation
8820 <= x < 8850; y294 = 5652.0000 + 0.6333x; linear_interpolation
8850 <= x < 8880; y295 = -210.0000 + -0.0333x; linear_interpolation
8880 <= x < 8910; y296 = 676.0000 + 0.0667x; linear_interpolation
8910 <= x < 8940; y297 = -508.0000 + -0.0667x; linear_interpolation
8940 <= x < 8970; y298 = 84.0000 + 0.0000x; linear_interpolation
8970 <= x < 9000; y299 = -4999.0000 + -0.5667x; linear_interpolation
9000 <= x < 9030; y300 = 967.0000 + 0.1000x; linear_interpolation
9030 <= x < 9060; y301 = 4284.0000 + 0.4667x; linear_interpolation
9060 <= x < 9090; y302 = -4144.0000 + -0.4667x; linear_interpolation
9090 <= x < 9120; y303 = 4312.0000 + 0.4667x; linear_interpolation
9120 <= x < 9150; y304 = -4172.0000 + -0.4667x; linear_interpolation
9150 <= x < 9180; y305 = -2675.0000 + -0.3000x; linear_interpolation
9180 <= x < 9210; y306 = -5447.0000 + -0.6000x; linear_interpolation
9210 <= x < 9240; y307 = -4255.0000 + -0.4667x; linear_interpolation
9240 <= x < 9270; y308 = 12349.0000 + 1.3333x; linear_interpolation
9270 <= x < 9300; y309 = 4395.0000 + 0.4667x; linear_interpolation
9300 <= x < 9330; y310 = -5187.0000 + -0.5667x; linear_interpolation
9330 <= x < 9360; y311 = 4731.0000 + 0.5000x; linear_interpolation
9360 <= x < 9390; y312 = -3663.0000 + -0.4000x; linear_interpolation
9390 <= x < 9420; y313 = 4764.0000 + 0.5000x; linear_interpolation
9420 <= x < 9450; y314 = -1486.0000 + -0.1667x; linear_interpolation
9450 <= x < 9480; y315 = 1024.0000 + 0.1000x; linear_interpolation
9480 <= x < 9510; y316 = -550.0000 + -0.0667x; linear_interpolation
9510 <= x < 9540; y317 = -4675.0000 + -0.5000x; linear_interpolation
9540 <= x < 9570; y318 = 1655.0000 + 0.1667x; linear_interpolation
9570 <= x < 9600; y319 = 4536.0000 + 0.4667x; linear_interpolation
9600 <= x < 9630; y320 = -2156.0000 + -0.2333x; linear_interpolation
9630 <= x < 9660; y321 = 3287.0000 + 0.3333x; linear_interpolation
9660 <= x < 9690; y322 = -3133.0000 + -0.3333x; linear_interpolation
9690 <= x < 9720; y323 = -3799.0000 + -0.4000x; linear_interpolation
9720 <= x < 9750; y324 = 6869.0000 + 0.7000x; linear_interpolation
9750 <= x < 9780; y325 = -6089.0000 + -0.6333x; linear_interpolation
9780 <= x < 9810; y326 = 6587.0000 + 0.6667x; linear_interpolation
9810 <= x < 9840; y327 = -894.0000 + -0.1000x; linear_interpolation
9840 <= x < 9870; y328 = -2868.0000 + -0.3000x; linear_interpolation
9870 <= x < 9900; y329 = 3365.0000 + 0.3333x; linear_interpolation
9900 <= x < 9930; y330 = -1565.0000 + -0.1667x; linear_interpolation
9930 <= x < 9960; y331 = 1404.0000 + 0.1333x; linear_interpolation
9960 <= x < 9990; y332 = 748.0000 + 0.0667x; linear_interpolation
9990 <= x < 10020; y333 = -247.0000 + -0.0333x; linear_interpolation
10020 <= x < 10050; y334 = -6929.0000 + -0.7000x; linear_interpolation
10050 <= x < 10080; y335 = 7434.0000 + 0.7333x; linear_interpolation
10080 <= x < 10110; y336 = -6970.0000 + -0.7000x; linear_interpolation
10110 <= x < 10140; y337 = 402.0000 + 0.0333x; linear_interpolation
10140 <= x < 10170; y338 = 6826.0000 + 0.6667x; linear_interpolation
10170 <= x < 10200; y339 = -6355.0000 + -0.6333x; linear_interpolation
10200 <= x < 10230; y340 = 5167.0000 + 0.5000x; linear_interpolation
10230 <= x < 10260; y341 = -6056.0000 + -0.6000x; linear_interpolation
10260 <= x < 10290; y342 = 7246.0000 + 0.7000x; linear_interpolation
10290 <= x < 10320; y343 = 85.0000 + 0.0000x; linear_interpolation
10320 <= x < 10350; y344 = -947.0000 + -0.1000x; linear_interpolation
10350 <= x < 10380; y345 = -5093.0000 + -0.5000x; linear_interpolation
10380 <= x < 10410; y346 = 5949.0000 + 0.5667x; linear_interpolation
10410 <= x < 10440; y347 = -6162.0000 + -0.6000x; linear_interpolation
10440 <= x < 10470; y348 = 7026.0000 + 0.6667x; linear_interpolation
10470 <= x < 10500; y349 = -6894.0000 + -0.6667x; linear_interpolation
10500 <= x < 10530; y350 = 6716.0000 + 0.6333x; linear_interpolation
10530 <= x < 10560; y351 = -266.0000 + -0.0333x; linear_interpolation
10560 <= x < 10590; y352 = 1140.0000 + 0.1000x; linear_interpolation
10590 <= x < 10620; y353 = -972.0000 + -0.1000x; linear_interpolation
10620 <= x < 10650; y354 = 1146.0000 + 0.1000x; linear_interpolation
10650 <= x < 10680; y355 = -2398.0000 + -0.2333x; linear_interpolation
10680 <= x < 10710; y356 = -5972.0000 + -0.5667x; linear_interpolation
10710 <= x < 10740; y357 = 7917.0000 + 0.7333x; linear_interpolation
10740 <= x < 10770; y358 = -7075.0000 + -0.6667x; linear_interpolation
10770 <= x < 10800; y359 = 7604.0000 + 0.7000x; linear_interpolation
10800 <= x < 10830; y360 = -8194.0000 + -0.7667x; linear_interpolation
10830 <= x < 10860; y361 = 1507.0000 + 0.1333x; linear_interpolation
10860 <= x < 10890; y362 = 6583.0000 + 0.6000x; linear_interpolation
10890 <= x < 10920; y363 = -1730.0000 + -0.1667x; linear_interpolation
10920 <= x < 10950; y364 = 2264.0000 + 0.2000x; linear_interpolation
10950 <= x < 10980; y365 = -1009.0000 + -0.1000x; linear_interpolation
10980 <= x < 11010; y366 = 1547.0000 + 0.1333x; linear_interpolation
11010 <= x < 11040; y367 = -7620.0000 + -0.7000x; linear_interpolation
11040 <= x < 11070; y368 = 7058.0000 + 0.6333x; linear_interpolation
11070 <= x < 11100; y369 = -6926.0000 + -0.6333x; linear_interpolation
11100 <= x < 11130; y370 = 7836.0000 + 0.7000x; linear_interpolation
11130 <= x < 11160; y371 = -7704.0000 + -0.7000x; linear_interpolation
11160 <= x < 11190; y372 = 438.0000 + 0.0333x; linear_interpolation
